turkid,avg_learning_time,total_learning_time,name_manipulated,is_manipulated,name,sd_manipulated,value_id,value
A3JG98R2KKAYYB,1.728764705882353,89.89576470588236,Blanket,False,Pillow,High,4,17
A3JG98R2KKAYYB,1.728764705882353,89.89576470588236,Blanket,False,Pillow,High,5,17
A3JG98R2KKAYYB,1.728764705882353,89.89576470588236,Blanket,False,Pillow,High,6,17
A3JG98R2KKAYYB,1.728764705882353,89.89576470588236,Blanket,False,Pillow,High,7,17
A3JG98R2KKAYYB,1.728764705882353,89.89576470588236,Blanket,False,Pillow,High,8,23
A3JG98R2KKAYYB,1.728764705882353,89.89576470588236,Blanket,False,Pillow,High,9,23
A3JG98R2KKAYYB,1.728764705882353,89.89576470588236,Blanket,False,Pillow,High,10,23
A3JG98R2KKAYYB,1.728764705882353,89.89576470588236,Blanket,False,Pillow,High,11,23
A3JG98R2KKAYYB,1.728764705882353,89.89576470588236,Blanket,False,Pillow,High,12,25
A3JG98R2KKAYYB,1.728764705882353,89.89576470588236,Blanket,False,Pillow,High,13,25
A3JG98R2KKAYYB,1.728764705882353,89.89576470588236,Blanket,False,Pillow,High,14,25
A3JG98R2KKAYYB,1.728764705882353,89.89576470588236,Blanket,False,Pillow,High,15,25
A3JG98R2KKAYYB,1.728764705882353,89.89576470588236,Blanket,False,Pillow,High,16,27
A3JG98R2KKAYYB,1.728764705882353,89.89576470588236,Blanket,False,Pillow,High,17,27
A3JG98R2KKAYYB,1.728764705882353,89.89576470588236,Blanket,False,Pillow,High,18,27
A3JG98R2KKAYYB,1.728764705882353,89.89576470588236,Blanket,False,Pillow,High,19,27
A3JG98R2KKAYYB,1.728764705882353,89.89576470588236,Blanket,False,Pillow,High,20,27
A3JG98R2KKAYYB,1.728764705882353,89.89576470588236,Blanket,False,Pillow,High,21,27
A3JG98R2KKAYYB,1.728764705882353,89.89576470588236,Blanket,False,Pillow,High,22,27
A3JG98R2KKAYYB,1.728764705882353,89.89576470588236,Blanket,False,Pillow,High,23,29
A3JG98R2KKAYYB,1.728764705882353,89.89576470588236,Blanket,False,Pillow,High,24,29
A3JG98R2KKAYYB,1.728764705882353,89.89576470588236,Blanket,False,Pillow,High,25,29
A15PKVR5G5R4FF,1.218705882352941,63.37270588235294,Pillow,True,Pillow,Low,0,23
A15PKVR5G5R4FF,1.218705882352941,63.37270588235294,Pillow,True,Pillow,Low,1,23
A15PKVR5G5R4FF,1.218705882352941,63.37270588235294,Pillow,True,Pillow,Low,2,23
A15PKVR5G5R4FF,1.218705882352941,63.37270588235294,Pillow,True,Pillow,Low,3,23
A15PKVR5G5R4FF,1.218705882352941,63.37270588235294,Pillow,True,Pillow,Low,4,23
A15PKVR5G5R4FF,1.218705882352941,63.37270588235294,Pillow,True,Pillow,Low,5,23
A15PKVR5G5R4FF,1.218705882352941,63.37270588235294,Pillow,True,Pillow,Low,6,23
A15PKVR5G5R4FF,1.218705882352941,63.37270588235294,Pillow,True,Pillow,Low,7,23
A15PKVR5G5R4FF,1.218705882352941,63.37270588235294,Pillow,True,Pillow,Low,8,23
A15PKVR5G5R4FF,1.218705882352941,63.37270588235294,Pillow,True,Pillow,Low,9,25
A15PKVR5G5R4FF,1.218705882352941,63.37270588235294,Pillow,True,Pillow,Low,10,25
A15PKVR5G5R4FF,1.218705882352941,63.37270588235294,Pillow,True,Pillow,Low,11,25
A15PKVR5G5R4FF,1.218705882352941,63.37270588235294,Pillow,True,Pillow,Low,12,25
A15PKVR5G5R4FF,1.218705882352941,63.37270588235294,Pillow,True,Pillow,Low,13,25
A15PKVR5G5R4FF,1.218705882352941,63.37270588235294,Pillow,True,Pillow,Low,14,25
A15PKVR5G5R4FF,1.218705882352941,63.37270588235294,Pillow,True,Pillow,Low,15,25
A15PKVR5G5R4FF,1.218705882352941,63.37270588235294,Pillow,True,Pillow,Low,16,25
