turkid,label_category,condition,memory_avg,memory_min,below_true_min,search_length,paid_price,excluded
R_2Tw627CJYoGsw4N,Colorado,Equal dispersion,0.0,240.0,0,3,260,No
R_2y9hJBE2UuAHSuV,Florida,Higher dispersion,600.0,240.0,0,3,260,No
R_1F9RZfhWJ1Fxpb9,Colorado,Higher dispersion,0.0,200.0,1,3,260,No
R_1LjaEsYPYOGvMbr,Florida,Equal dispersion,680.0,240.0,0,3,260,No
R_1GKzoH7qgbQXglU,Florida,Equal dispersion,620.0,240.0,0,2,320,No
R_1F8qBwLtDzYKQlc,Colorado,Equal dispersion,0.0,240.0,0,3,260,No
R_1IiMkG9DUbgNKLC,Colorado,Equal dispersion,0.0,500.0,0,1,340,Yes
R_2TC18ogjEs3E5tF,Colorado,Equal dispersion,0.0,260.0,0,2,320,No
R_tRSeuvjZtckic5r,Florida,Higher dispersion,274.0,250.0,0,1,340,No
R_3JfPGZzsMnpNepM,Florida,Equal dispersion,600.0,260.0,0,3,260,No
R_1K3HMebhrk6cCS9,Colorado,Equal dispersion,0.0,350.0,0,1,340,Yes
R_4YHIALbkYxnq0wN,Florida,Higher dispersion,680.0,220.0,1,3,260,No
R_33g981InxFJX6BO,Florida,Higher dispersion,600.0,240.0,0,6,320,No
R_XnrAhAAOEHJRSo1,Florida,Higher dispersion,560.0,180.0,1,3,260,No
R_2V2A2VRus1VaeSh,Colorado,Equal dispersion,0.0,240.0,0,3,260,No
R_2QtHEphfnGiiLwT,Colorado,Higher dispersion,0.0,200.0,1,1,340,No
R_10A7Wzj7YvtRSZE,Florida,Higher dispersion,600.0,220.0,1,3,260,No
R_3iqedUdE6mmzMsm,Colorado,Equal dispersion,0.0,240.0,0,3,260,No
R_1GH6HqaZ31cAUg5,Florida,Equal dispersion,700.0,280.0,0,3,260,No
R_1N8NK75JavnT9XD,Colorado,Higher dispersion,0.0,240.0,0,3,260,No
R_OkX3q1jElleho4x,Colorado,Equal dispersion,0.0,240.0,0,3,260,No
R_1gUzYLSTl1zT46I,Colorado,Equal dispersion,0.0,240.0,0,3,260,No
R_247xJRlROchvf6R,Colorado,Equal dispersion,0.0,240.0,0,3,260,No
R_1Dx82iLxzx6jmFl,Colorado,Higher dispersion,0.0,140.0,1,5,300,No
R_vPrfyoldJ2L3vDH,Florida,Equal dispersion,600.0,240.0,0,3,260,No
R_1Gy9JjWpduttMom,Florida,Equal dispersion,600.0,240.0,0,3,260,No
R_1Eal6zb6gCq3Yjr,Colorado,Equal dispersion,0.0,360.0,0,1,340,Yes
R_1o70Ubm5eKti8qu,Florida,Equal dispersion,600.0,240.0,0,3,260,No
R_22RXT0KZuFv4cJP,Colorado,Higher dispersion,0.0,400.0,0,1,340,Yes
R_2vlfiO3c2pVXexL,Florida,Equal dispersion,600.0,240.0,0,3,260,No
R_2zehLlwrsTKUSUI,Florida,Equal dispersion,640.0,260.0,0,3,260,No
R_O6zaje3zF7Ff0ad,Florida,Higher dispersion,640.0,180.0,1,3,260,No
R_BXTdZNe99n4cNVv,Florida,Equal dispersion,640.0,240.0,0,3,260,No
R_3hDsa4HAUHFHgFc,Florida,Equal dispersion,640.0,240.0,0,3,260,No
R_1ojpxh0KngVCbvP,Florida,Equal dispersion,600.0,240.0,0,3,260,No
R_33qiEekZgZ4o1CU,Colorado,Higher dispersion,0.0,240.0,0,3,260,No
R_WB6OQd9mSOy82lP,Florida,Higher dispersion,580.0,180.0,1,3,260,No
R_2YWaffRQtr8b7l9,Colorado,Equal dispersion,0.0,350.0,0,1,340,Yes
R_1F34Nj7fAAdWFvd,Colorado,Higher dispersion,0.0,280.0,0,1,340,No
R_290nj6QrICYpOzo,Florida,Equal dispersion,600.0,280.0,0,3,260,No
R_3PN2T2MuSvwDQDK,Florida,Higher dispersion,600.0,200.0,1,3,260,No
R_3oZ7px2yUvBLHsO,Colorado,Equal dispersion,0.0,260.0,0,3,260,No
R_eamy8Q92dsnI8PD,Colorado,Equal dispersion,0.0,250.0,0,1,340,No
R_1d4vjspCUqkmz5x,Colorado,Higher dispersion,0.0,260.0,0,3,260,No
