Column Name,Description,Scale Items
pid,Participant ID,N/A
turkid,MTurk ID,N/A
name_manipulated,Name of manipulated category,N/A
is_manipulated,Was this item manipulated?,N/A
wine,Type of wine (red vs. white),
shape_manipulated,Shape of manipulated category,N/A
value_id,ID of value entered,N/A
value,Value entered in the distribution builder,N/A
