StartDate,EndDate,Duration (in seconds),Finished,1_Choice,2_Choice,3_Choice,4_Choice,5_Choice,1_Choice,2_Choice,3_Choice,4_Choice,5_Choice,MaxVal_Blue,MaxVal_Red,prices,prices_red,prices_blue,EndLoop,BonusAmount,workerId,dispersion,manipulated
16/07/2019 21:48,16/07/2019 21:49,63,1,1,,,,,,,,,,,35,,,,1,30¢,A1ACIEFY7308VO,same,blue
16/07/2019 21:48,16/07/2019 21:50,139,1,2,1,,,,,,,,,,40,"32,38,32,38,32,32,36,32,32,34,28,34,28,24,40,30,26,38,40,28,36,36,36,26,26,34,30,26,28,34,36,30,30,32,34,28,24,38,30,32,34,32,32,30,34,30,36,30,28,34",34;28;30;36;30;32;34;30;38;24;34;32;30;28;26;26;36;28;38;40;34;36;32;32;32,30;34;32;32;28;30;36;34;30;34;26;36;36;40;26;30;24;28;34;28;32;32;38;32;38,1,38¢,A3P91I9NPRTQ8Q,same,blue
16/07/2019 21:47,16/07/2019 21:50,172,1,2,1,,,,,,,,,,38,"34,22,32,28,36,38,32,30,28,34,32,48,46,32,32,26,30,36,36,36,34,32,26,28,36,50,30,18,34,38,34,16,26,30,28,38,28,30,32,20,34,42,24,24,40,32,44,40,30,14",30;40;32;24;32;30;28;38;28;34;30;36;28;26;34;36;30;26;32;32;34;32;38;36;34,14;44;40;24;42;34;20;30;26;16;38;34;18;50;32;36;36;32;46;48;28;30;28;32;22,1,38¢,A582C3UN20MTP,higher,blue
16/07/2019 21:48,16/07/2019 21:50,150,1,,,,,,2,1,,,,46,,"36,44,36,36,42,26,32,32,30,14,28,28,16,32,26,30,50,34,34,32,18,36,32,40,28,40,30,32,30,32,24,20,34,26,38,30,38,48,22,46,34,38,28,32,24,36,34,28,30,34",34;28;28;46;22;48;38;26;20;24;32;40;32;18;34;50;30;16;14;30;32;42;36;44;36,30;34;36;24;32;38;34;30;38;34;32;30;30;40;28;36;32;34;26;32;28;28;32;26;36,1,38¢,A2EJOI2VIRMIR,higher,red
16/07/2019 21:48,16/07/2019 21:50,172,1,2,2,2,2,,,,,,,,60,"30,46,34,32,22,16,28,26,30,34,48,40,34,42,24,28,36,34,28,32,44,26,30,30,40,36,18,32,32,38,28,24,34,32,38,32,36,26,36,28,32,38,20,30,36,50,34,30,14,32",32;34;30;38;32;28;26;36;38;32;34;24;28;36;30;30;32;36;28;40;34;30;26;32;34,14;30;50;36;20;36;32;38;32;32;18;40;26;44;28;34;24;42;34;48;28;16;22;46;30,0,32¢,A1UJFFG4QXRZTG,higher,blue
16/07/2019 21:48,16/07/2019 21:51,192,1,,,,,,2,2,2,2,,38,,"36,24,34,34,26,28,28,26,38,34,32,34,32,32,28,38,40,32,34,28,24,30,38,40,36,26,32,32,32,36,30,30,34,36,30,30,32,36,26,32,30,34,28,38,30,28,34,36,32,30",36;28;30;28;34;36;30;30;30;32;32;26;36;38;24;34;40;32;32;34;32;38;28;26;34,30;32;34;38;30;32;26;32;36;34;30;36;32;40;30;28;32;38;28;34;26;28;34;24;36,0,32¢,A1B3BQEXT42AUT,same,red
16/07/2019 21:47,16/07/2019 21:51,214,1,,,,,,2,1,,,,42,,"34,36,30,28,32,30,24,40,28,26,26,34,36,32,30,38,38,36,26,34,32,26,38,30,34,32,24,40,36,32,34,30,34,28,28,36,32,34,32,32,38,36,30,28,30,34,32,32,30,28",30;32;30;28;36;38;32;34;28;34;40;24;32;34;26;32;38;32;36;34;26;28;30;30;36,28;32;34;30;32;32;36;28;34;30;32;36;30;38;34;26;36;38;30;26;40;24;32;28;34,1,38¢,A1NX757N7HLLLM,same,red
16/07/2019 21:48,16/07/2019 21:51,165,1,2,1,,,,,,,,,,38,"36,30,50,36,34,16,32,36,28,26,24,24,30,32,42,38,40,32,34,34,26,28,32,28,28,14,36,30,28,34,32,18,32,38,32,44,48,40,30,34,30,26,22,20,32,46,30,34,38,36",38;34;30;30;32;32;32;34;30;36;28;32;28;26;34;40;38;32;24;26;28;34;36;30;36,36;30;46;32;20;22;26;34;40;48;44;38;18;28;14;28;34;32;42;30;24;36;32;16;50,1,38¢,A15FW45U2TJ443,higher,blue
16/07/2019 21:48,16/07/2019 21:51,189,1,,,,,,2,1,,,,40,,"36,38,32,36,38,34,36,30,26,32,34,30,38,38,30,36,28,36,34,26,28,28,40,32,26,36,24,32,34,32,24,32,32,32,30,32,30,34,28,32,30,28,30,28,30,40,34,34,34,26",26;34;34;34;30;28;30;30;28;34;32;32;32;24;32;40;26;28;36;38;38;30;36;32;36,40;28;32;30;32;30;32;24;34;32;36;26;28;28;34;36;30;30;34;32;26;36;34;38;38,1,38¢,A4FIBA4TLW0NG,same,red
16/07/2019 21:49,16/07/2019 21:51,134,1,2,1,,,,,,,,,,40,"36,24,34,32,32,38,30,34,30,26,32,34,38,38,28,30,32,28,26,30,28,30,34,36,32,36,30,28,26,34,36,32,40,36,30,32,32,26,32,34,38,32,34,40,28,28,24,36,34,30",30;36;24;28;28;40;38;34;30;32;34;26;32;36;34;26;32;30;28;38;32;34;30;32;36,34;34;32;32;26;32;32;36;40;36;28;30;36;30;28;30;28;38;34;26;30;38;32;34;24,1,38¢,A1ARYYSI60146Q,same,blue
16/07/2019 21:49,16/07/2019 21:52,156,1,2,1,,,,,,,,,,40,"16,40,38,28,32,32,44,34,34,24,38,50,20,30,34,30,24,42,32,32,36,22,32,40,36,36,26,28,32,26,30,34,14,30,46,32,30,18,34,48,32,30,26,28,28,34,36,36,28,38",38;28;36;34;28;28;30;32;30;30;26;26;36;40;32;36;32;24;30;34;38;34;34;32;32,36;26;48;34;18;32;46;30;14;34;32;28;36;22;32;42;30;20;50;24;44;28;38;40;16,1,38¢,A3AS6HVPF2TQ59,higher,blue
16/07/2019 21:49,16/07/2019 21:52,181,1,,,,,,2,2,2,2,,40,,"38,32,34,30,22,36,34,28,28,32,26,46,36,24,38,28,34,40,14,34,48,32,18,40,30,30,26,32,20,36,30,32,44,50,42,32,24,34,32,28,32,26,34,38,16,30,30,28,36,36",36;30;16;26;28;24;32;42;50;44;32;30;36;20;40;18;32;48;34;14;34;38;46;28;22,36;28;30;38;34;32;32;34;32;26;30;30;40;28;24;36;26;32;28;34;36;30;34;32;38,0,32¢,A2VG30TZC4CND0,higher,red
16/07/2019 21:48,16/07/2019 21:52,224,1,2,1,,,,,,,,,,40,"28,36,32,28,30,28,34,28,30,38,36,28,30,32,24,34,32,26,38,30,32,36,26,30,36,32,30,26,32,38,36,34,34,30,34,26,24,36,40,32,32,32,34,40,34,32,28,34,38,30",40;32;34;30;34;34;26;30;32;36;32;38;26;32;24;36;38;30;28;34;28;30;28;32;36,30;38;34;28;32;34;34;32;32;40;36;24;26;36;38;32;36;30;26;30;34;32;30;28;28,1,38¢,A3S4MITRNWI9WZ,same,blue
16/07/2019 21:49,16/07/2019 21:52,152,1,2,1,,,,,,,,,,50,"16,44,26,32,42,34,34,22,34,36,40,28,24,18,32,32,36,32,26,20,48,32,28,32,28,32,30,30,38,36,38,28,46,30,32,30,30,24,50,14,34,30,40,26,38,36,34,28,36,34",28;34;36;26;40;30;34;24;30;30;32;38;36;38;30;32;28;32;32;32;28;36;34;34;26,34;36;38;14;50;30;46;28;30;32;28;48;20;26;36;32;18;24;40;34;22;42;32;44;16,1,38¢,A3FQYXSF2OBFQI,higher,blue
