startdate,enddate,bonusamount,workerid,box_opened,bonusamountnumeric,memory_max,memory_max_recoded,condition,label_category,excluded,excluded_if_recoded
16/07/2019 21:53,16/07/2019 21:56,38¢,A1FJINS24NQMIE,2,38.0,40.0,40.0,Equal dispersion,Blue,No,No
16/07/2019 21:53,16/07/2019 21:56,30¢,A2DX9PJPZFJ2WW,1,30.0,40.0,40.0,Equal dispersion,Red,No,No
16/07/2019 21:51,16/07/2019 21:56,32¢,AFS8Q6SL9UJOW,5,32.0,40.0,40.0,Equal dispersion,Blue,No,No
16/07/2019 21:53,16/07/2019 21:56,30¢,A32IH90XD0CKFF,1,30.0,38.0,38.0,Equal dispersion,Red,No,No
16/07/2019 21:54,16/07/2019 21:56,38¢,A3EODUN3MLL558,2,38.0,50.0,50.0,Higher dispersion,Blue,No,No
16/07/2019 21:54,16/07/2019 21:56,38¢,A2G0K2OQWSMO2G,2,38.0,40.0,40.0,Equal dispersion,Blue,No,No
16/07/2019 21:54,16/07/2019 21:56,38¢,A27EZ6UU9WM241,2,38.0,42.0,42.0,Higher dispersion,Red,No,No
16/07/2019 21:54,16/07/2019 21:56,30¢,A1YL6RUUTJ2U3Z,1,30.0,30.0,30.0,Equal dispersion,Blue,Yes,Yes
16/07/2019 21:51,16/07/2019 21:56,38¢,A3NFRJM2ATN21O,2,38.0,38.0,38.0,Equal dispersion,Red,No,No
16/07/2019 21:53,16/07/2019 21:57,38¢,A2H6MIVLLVQZBL,2,38.0,0.4,40.0,Higher dispersion,Blue,Yes,No
16/07/2019 21:53,16/07/2019 21:57,30¢,A3IW1LBXVMKB53,1,30.0,0.4,40.0,Higher dispersion,Red,Yes,No
16/07/2019 21:55,16/07/2019 21:57,38¢,A25GINW9RQV3TW,2,38.0,40.0,40.0,Equal dispersion,Red,No,No
16/07/2019 21:53,16/07/2019 21:57,32¢,A2KDLOJK1FWPC,5,32.0,38.0,38.0,Equal dispersion,Blue,No,No
16/07/2019 21:54,16/07/2019 21:57,32¢,AAQM1A6H55S1M,5,32.0,38.0,38.0,Higher dispersion,Red,No,No
16/07/2019 21:49,16/07/2019 21:57,38¢,A34CQM9BI10TCJ,2,38.0,40.0,40.0,Equal dispersion,Blue,No,No
16/07/2019 21:54,16/07/2019 21:57,30¢,A2D6YXM952GAGU,1,30.0,32.0,32.0,Higher dispersion,Blue,No,No
16/07/2019 21:52,16/07/2019 21:57,32¢,A51EYU6NOA7SC,5,32.0,40.0,40.0,Higher dispersion,Red,No,No
