turkid,name_distractor,sd_distractor,sd_distractor_label,target,memory_max,memory_min,memory_range,unpredictable,inconsistent
A2EVTBJG1Z9TCP,Red,Low,$\sigma = 1.1$,Red,27,19,8,2,5
A2EVTBJG1Z9TCP,Red,Low,$\sigma = 1.1$,White,25,18,7,5,3
A0017268R9SKD8U2Y3F,White,Low,$\sigma = 1.1$,Red,29,24,5,5,5
A0017268R9SKD8U2Y3F,White,Low,$\sigma = 1.1$,White,31,23,8,5,5
AITP2LUW8GPB,White,Low,$\sigma = 1.1$,Red,45,15,30,3,4
AITP2LUW8GPB,White,Low,$\sigma = 1.1$,White,35,10,25,4,4
AOZUMS41I24QI,Red,Med,$\sigma = 4.5$,Red,43,22,21,5,6
AOZUMS41I24QI,Red,Med,$\sigma = 4.5$,White,38,21,17,4,5
A1GRPIBHW72HDU,White,Med,$\sigma = 4.5$,Red,33,17,16,3,3
A1GRPIBHW72HDU,White,Med,$\sigma = 4.5$,White,34,18,16,2,2
A319A00WUMMU4R,Red,Med,$\sigma = 4.5$,Red,28,21,7,6,3
A319A00WUMMU4R,Red,Med,$\sigma = 4.5$,White,31,19,12,4,6
A21Y7K669KM1PR,Red,High,$\sigma = 7.5$,Red,38,16,22,2,2
A21Y7K669KM1PR,Red,High,$\sigma = 7.5$,White,38,13,25,5,4
AYBYMDBEBK5Z,White,Med,$\sigma = 4.5$,Red,34,19,15,5,5
AYBYMDBEBK5Z,White,Med,$\sigma = 4.5$,White,33,19,14,5,5
A2H4HYDU6FFAMQ,White,High,$\sigma = 7.5$,Red,30,13,17,7,6
A2H4HYDU6FFAMQ,White,High,$\sigma = 7.5$,White,29,10,19,6,5
A2I55CEBUNQ2SZ,White,High,$\sigma = 7.5$,Red,47,10,37,6,5
A2I55CEBUNQ2SZ,White,High,$\sigma = 7.5$,White,48,8,40,5,7
A15FXHC1CVNW31,White,High,$\sigma = 7.5$,Red,38,15,23,3,3
A15FXHC1CVNW31,White,High,$\sigma = 7.5$,White,35,18,17,3,3
A2QPMJ4GADLUW2,Red,High,$\sigma = 7.5$,Red,37,13,24,2,3
A2QPMJ4GADLUW2,Red,High,$\sigma = 7.5$,White,38,17,21,3,3
AIYEEGUR4FATL,Red,Med,$\sigma = 4.5$,Red,32,18,14,5,4
AIYEEGUR4FATL,Red,Med,$\sigma = 4.5$,White,34,19,15,5,4
A1V1Q9L3DG40WQ,Red,Med,$\sigma = 4.5$,Red,34,17,17,2,1
A1V1Q9L3DG40WQ,Red,Med,$\sigma = 4.5$,White,34,17,17,2,2
A1TM0YUPC90UFZ,White,High,$\sigma = 7.5$,Red,34,17,17,3,3
A1TM0YUPC90UFZ,White,High,$\sigma = 7.5$,White,37,13,24,2,2
AUDH0P4ZHJKS2,Red,Low,$\sigma = 1.1$,Red,33,17,16,3,5
AUDH0P4ZHJKS2,Red,Low,$\sigma = 1.1$,White,27,21,6,3,5
A1Y6HGDW6ZAYBY,Red,High,$\sigma = 7.5$,Red,34,15,19,2,2
A1Y6HGDW6ZAYBY,Red,High,$\sigma = 7.5$,White,33,15,18,2,2
A2HWIWF0EZP7BV,Red,Low,$\sigma = 1.1$,Red,29,19,10,5,3
A2HWIWF0EZP7BV,Red,Low,$\sigma = 1.1$,White,32,19,13,2,2
A24FIMMDV3QAZD,Red,Med,$\sigma = 4.5$,Red,50,25,25,4,4
A24FIMMDV3QAZD,Red,Med,$\sigma = 4.5$,White,50,25,25,4,4
A2DFXQ3QVQ9ELH,White,Low,$\sigma = 1.1$,Red,32,17,15,2,2
A2DFXQ3QVQ9ELH,White,Low,$\sigma = 1.1$,White,27,23,4,6,6
A33P3MP2KIC717,White,Med,$\sigma = 4.5$,Red,31,17,14,3,5
A33P3MP2KIC717,White,Med,$\sigma = 4.5$,White,35,15,20,3,5
A3LOLMFCFVCXSX,Red,High,$\sigma = 7.5$,Red,37,13,24,5,5
A3LOLMFCFVCXSX,Red,High,$\sigma = 7.5$,White,35,12,23,3,2
A1DXSFFL5HZ1NX,Red,Low,$\sigma = 1.1$,Red,29,19,10,5,5
A1DXSFFL5HZ1NX,Red,Low,$\sigma = 1.1$,White,34,18,16,2,2
A1B84JJ7ATWVJA,Red,High,$\sigma = 7.5$,Red,37,13,24,2,2
A1B84JJ7ATWVJA,Red,High,$\sigma = 7.5$,White,36,14,22,2,2
A2W5Q0IVJUS7Y6,White,Med,$\sigma = 4.5$,Red,24,21,3,5,5
A2W5Q0IVJUS7Y6,White,Med,$\sigma = 4.5$,White,32,17,15,3,3
A2OFN0A5CPLH57,Red,High,$\sigma = 7.5$,Red,38,13,25,3,2
A2OFN0A5CPLH57,Red,High,$\sigma = 7.5$,White,38,13,25,5,6
ADEMAGRRRGSPT,White,High,$\sigma = 7.5$,Red,36,15,21,3,3
ADEMAGRRRGSPT,White,High,$\sigma = 7.5$,White,38,14,24,2,2
A7BJQT4AKDHAO,White,Med,$\sigma = 4.5$,Red,31,17,14,3,3
A7BJQT4AKDHAO,White,Med,$\sigma = 4.5$,White,34,17,17,5,5
A21UA6O7ZFAIQJ,White,High,$\sigma = 7.5$,Red,34,18,16,5,5
A21UA6O7ZFAIQJ,White,High,$\sigma = 7.5$,White,38,18,20,5,6
A3RHFUBEK3JC4V,White,High,$\sigma = 7.5$,Red,33,20,13,3,3
A3RHFUBEK3JC4V,White,High,$\sigma = 7.5$,White,30,17,13,3,3
A1DSBBRZR3LWXP,White,Low,$\sigma = 1.1$,Red,34,19,15,2,2
A1DSBBRZR3LWXP,White,Low,$\sigma = 1.1$,White,29,24,5,5,5
A2PBIFYF14M5MD,White,Med,$\sigma = 4.5$,Red,34,17,17,5,4
A2PBIFYF14M5MD,White,Med,$\sigma = 4.5$,White,33,23,10,5,5
A2JGWDPGYD5X0N,Red,High,$\sigma = 7.5$,Red,38,11,27,2,2
A2JGWDPGYD5X0N,Red,High,$\sigma = 7.5$,White,38,14,24,2,2
A1GCTKOPKUTW3G,Red,High,$\sigma = 7.5$,Red,34,15,19,4,5
A1GCTKOPKUTW3G,Red,High,$\sigma = 7.5$,White,32,14,18,4,3
A3914P24XPNPY3,White,Low,$\sigma = 1.1$,Red,28,20,8,5,6
A3914P24XPNPY3,White,Low,$\sigma = 1.1$,White,28,22,6,5,6
ALSDYX3XI9565,Red,Low,$\sigma = 1.1$,Red,34,17,17,4,6
ALSDYX3XI9565,Red,Low,$\sigma = 1.1$,White,34,17,17,4,6
A3RS7UCO7CQ74R,Red,Med,$\sigma = 4.5$,Red,27,24,3,5,3
A3RS7UCO7CQ74R,Red,Med,$\sigma = 4.5$,White,27,24,3,5,3
A2311L4YQ9PP81,White,Low,$\sigma = 1.1$,Red,33,21,12,4,3
A2311L4YQ9PP81,White,Low,$\sigma = 1.1$,White,31,13,18,3,5
A1OZPLHNIU1519,White,Med,$\sigma = 4.5$,Red,33,17,16,3,3
A1OZPLHNIU1519,White,Med,$\sigma = 4.5$,White,34,19,15,6,6
A3K1PEC18VPAT8,White,High,$\sigma = 7.5$,Red,34,17,17,1,5
A3K1PEC18VPAT8,White,High,$\sigma = 7.5$,White,37,13,24,2,6
A14UUJMRQ6ULRV,White,Low,$\sigma = 1.1$,Red,34,24,10,2,1
A14UUJMRQ6ULRV,White,Low,$\sigma = 1.1$,White,34,17,17,5,3
A2VZIJ7AZ537QP,Red,Med,$\sigma = 4.5$,Red,28,18,10,4,4
A2VZIJ7AZ537QP,Red,Med,$\sigma = 4.5$,White,28,13,15,4,4
A1SWCB4QM0A1R8,White,Med,$\sigma = 4.5$,Red,34,19,15,5,5
A1SWCB4QM0A1R8,White,Med,$\sigma = 4.5$,White,25,23,2,2,2
A1DY3TBDY4VZG5,White,Low,$\sigma = 1.1$,Red,33,21,12,5,6
A1DY3TBDY4VZG5,White,Low,$\sigma = 1.1$,White,27,19,8,3,3
A2AEXHIIZTS1RR,Red,Med,$\sigma = 4.5$,Red,34,19,15,2,2
A2AEXHIIZTS1RR,Red,Med,$\sigma = 4.5$,White,34,17,17,2,2
A1KRO0JWU6LT0I,White,Med,$\sigma = 4.5$,Red,17,17,0,6,5
A1KRO0JWU6LT0I,White,Med,$\sigma = 4.5$,White,33,18,15,5,5
A1O4BHTTYNGNMK,Red,Med,$\sigma = 4.5$,Red,32,18,14,5,6
A1O4BHTTYNGNMK,Red,Med,$\sigma = 4.5$,White,31,17,14,3,3
A3D1KY32KA7US9,White,Low,$\sigma = 1.1$,Red,32,16,16,4,4
A3D1KY32KA7US9,White,Low,$\sigma = 1.1$,White,30,19,11,4,4
A22ZYDQ7VRH6EL,Red,Med,$\sigma = 4.5$,Red,31,18,13,2,2
A22ZYDQ7VRH6EL,Red,Med,$\sigma = 4.5$,White,18,18,0,3,3
A31D9Q3SUR0VUU,White,High,$\sigma = 7.5$,Red,36,12,24,4,4
A31D9Q3SUR0VUU,White,High,$\sigma = 7.5$,White,36,16,20,4,4
A19L8SNH73AX1Z,Red,High,$\sigma = 7.5$,Red,37,15,22,2,2
A19L8SNH73AX1Z,Red,High,$\sigma = 7.5$,White,35,13,22,2,2
AOBTFLJU2BEPR,White,High,$\sigma = 7.5$,Red,38,18,20,4,4
AOBTFLJU2BEPR,White,High,$\sigma = 7.5$,White,29,15,14,4,4
AEDJXOPWQULR4,White,Low,$\sigma = 1.1$,Red,28,18,10,3,3
AEDJXOPWQULR4,White,Low,$\sigma = 1.1$,White,28,22,6,5,6
AKKDXXY0G46AK,White,Med,$\sigma = 4.5$,Red,29,17,12,2,1
AKKDXXY0G46AK,White,Med,$\sigma = 4.5$,White,27,15,12,1,2
A3EL1CTJWNCY2O,Red,Low,$\sigma = 1.1$,Red,26,18,8,6,6
A3EL1CTJWNCY2O,Red,Low,$\sigma = 1.1$,White,32,20,12,3,5
A2L5GK3NXK4XF1,Red,Low,$\sigma = 1.1$,Red,29,20,9,5,3
A2L5GK3NXK4XF1,Red,Low,$\sigma = 1.1$,White,27,20,7,5,3
AJTNDRWYD3IFR,Red,Med,$\sigma = 4.5$,Red,34,17,17,3,3
AJTNDRWYD3IFR,Red,Med,$\sigma = 4.5$,White,39,17,22,2,3
A3ELT4XRJTCNKL,White,Med,$\sigma = 4.5$,Red,34,19,15,4,4
A3ELT4XRJTCNKL,White,Med,$\sigma = 4.5$,White,30,22,8,4,4
A1MAAPY9K1G1YR,White,Low,$\sigma = 1.1$,Red,34,17,17,2,6
A1MAAPY9K1G1YR,White,Low,$\sigma = 1.1$,White,32,21,11,5,5
A1HMGPUALNY8XO,Red,Med,$\sigma = 4.5$,Red,35,17,18,5,5
A1HMGPUALNY8XO,Red,Med,$\sigma = 4.5$,White,32,17,15,3,3
A2M5I4KGKF9J7Q,Red,High,$\sigma = 7.5$,Red,35,13,22,3,3
A2M5I4KGKF9J7Q,Red,High,$\sigma = 7.5$,White,33,15,18,3,3
A1ENE99INLYD1G,White,Low,$\sigma = 1.1$,Red,26,22,4,5,4
A1ENE99INLYD1G,White,Low,$\sigma = 1.1$,White,26,20,6,4,5
A1T8YT3FFIRM8N,Red,Low,$\sigma = 1.1$,Red,33,20,13,3,6
A1T8YT3FFIRM8N,Red,Low,$\sigma = 1.1$,White,33,17,16,3,3
A35ZRGM4AQ6FF5,Red,High,$\sigma = 7.5$,Red,33,13,20,4,4
A35ZRGM4AQ6FF5,Red,High,$\sigma = 7.5$,White,33,13,20,4,4
A2J5N770I859WE,White,High,$\sigma = 7.5$,Red,33,24,9,6,5
A2J5N770I859WE,White,High,$\sigma = 7.5$,White,33,15,18,5,3
A3SZPQMP8UYNN9,Red,High,$\sigma = 7.5$,Red,32,13,19,3,3
A3SZPQMP8UYNN9,Red,High,$\sigma = 7.5$,White,35,11,24,4,4
APEHS2JTA3FZJ,White,Med,$\sigma = 4.5$,Red,36,17,19,3,5
APEHS2JTA3FZJ,White,Med,$\sigma = 4.5$,White,32,19,13,3,5
A1P8YJ2L8G8EE1,White,Low,$\sigma = 1.1$,Red,32,18,14,5,5
A1P8YJ2L8G8EE1,White,Low,$\sigma = 1.1$,White,25,17,8,3,3
A079789010EVSPIBCSWFO,Red,Low,$\sigma = 1.1$,Red,28,24,4,2,3
A079789010EVSPIBCSWFO,Red,Low,$\sigma = 1.1$,White,31,17,14,2,3
A1CC1ESUM2JWJ2,White,Low,$\sigma = 1.1$,Red,31,18,13,5,6
A1CC1ESUM2JWJ2,White,Low,$\sigma = 1.1$,White,31,18,13,5,6
A39EBLPHUIPAFH,White,Med,$\sigma = 4.5$,Red,39,13,26,4,4
A39EBLPHUIPAFH,White,Med,$\sigma = 4.5$,White,33,13,20,4,4
A332S5HG3XL6TE,Red,High,$\sigma = 7.5$,Red,35,18,17,3,5
A332S5HG3XL6TE,Red,High,$\sigma = 7.5$,White,24,18,6,3,5
A3JVG39ZC5U3AE,Red,Med,$\sigma = 4.5$,Red,33,18,15,5,6
A3JVG39ZC5U3AE,Red,Med,$\sigma = 4.5$,White,29,18,11,3,3
A1518CYJ8XQYIJ,Red,Low,$\sigma = 1.1$,Red,29,21,8,5,5
A1518CYJ8XQYIJ,Red,Low,$\sigma = 1.1$,White,34,17,17,3,3
A2VAL2BRKVSUB5,Red,Low,$\sigma = 1.1$,Red,28,19,9,5,5
A2VAL2BRKVSUB5,Red,Low,$\sigma = 1.1$,White,34,17,17,5,5
A2HG1N3BVQO6I,White,Med,$\sigma = 4.5$,Red,35,21,14,6,5
A2HG1N3BVQO6I,White,Med,$\sigma = 4.5$,White,31,17,14,5,5
AFSGRTCIUF123,Red,Low,$\sigma = 1.1$,Red,27,23,4,6,2
AFSGRTCIUF123,Red,Low,$\sigma = 1.1$,White,34,18,16,2,2
A20MUNY2OLDCLC,White,Low,$\sigma = 1.1$,Red,29,20,9,5,5
A20MUNY2OLDCLC,White,Low,$\sigma = 1.1$,White,33,21,12,5,5
AIVOH0IAPO9IU,Red,Low,$\sigma = 1.1$,Red,30,22,8,6,5
AIVOH0IAPO9IU,Red,Low,$\sigma = 1.1$,White,26,20,6,5,5
A303S36W18O53,White,Med,$\sigma = 4.5$,Red,25,24,1,5,5
A303S36W18O53,White,Med,$\sigma = 4.5$,White,39,24,15,5,5
A1LUQFFMIXMYNI,Red,Low,$\sigma = 1.1$,Red,28,19,9,3,5
A1LUQFFMIXMYNI,Red,Low,$\sigma = 1.1$,White,34,17,17,3,3
A1583QYOFIMYWT,Red,Med,$\sigma = 4.5$,Red,34,17,17,1,1
A1583QYOFIMYWT,Red,Med,$\sigma = 4.5$,White,32,17,15,2,2
A1R37XA9QPSIAN,White,Med,$\sigma = 4.5$,Red,32,19,13,2,3
A1R37XA9QPSIAN,White,Med,$\sigma = 4.5$,White,36,19,17,2,3
A2PB1I8JWNLJ70,Red,High,$\sigma = 7.5$,Red,30,16,14,4,3
A2PB1I8JWNLJ70,Red,High,$\sigma = 7.5$,White,36,24,12,4,5
A3PTO0DMF57GDG,Red,Low,$\sigma = 1.1$,Red,32,17,15,6,6
A3PTO0DMF57GDG,Red,Low,$\sigma = 1.1$,White,35,27,8,6,6
A2SSDWL47X3DXF,Red,Med,$\sigma = 4.5$,Red,34,18,16,2,2
A2SSDWL47X3DXF,Red,Med,$\sigma = 4.5$,White,34,18,16,2,2
AROZ6EDDUGTLP,White,High,$\sigma = 7.5$,Red,31,18,13,2,3
AROZ6EDDUGTLP,White,High,$\sigma = 7.5$,White,28,12,16,2,4
A3MBZBRLV92W6,White,High,$\sigma = 7.5$,Red,38,15,23,2,2
A3MBZBRLV92W6,White,High,$\sigma = 7.5$,White,36,14,22,2,2
AIW85EF59VCQO,Red,High,$\sigma = 7.5$,Red,34,13,21,2,5
AIW85EF59VCQO,Red,High,$\sigma = 7.5$,White,30,17,13,5,6
A2O8PM0T20UZE3,White,Med,$\sigma = 4.5$,Red,33,19,14,4,5
A2O8PM0T20UZE3,White,Med,$\sigma = 4.5$,White,32,17,15,4,5
A1RJ2LORL5PJHS,White,Low,$\sigma = 1.1$,Red,33,17,16,3,3
A1RJ2LORL5PJHS,White,Low,$\sigma = 1.1$,White,27,22,5,5,5
ADAQIHMKC6NVC,White,Low,$\sigma = 1.1$,Red,32,18,14,4,4
ADAQIHMKC6NVC,White,Low,$\sigma = 1.1$,White,28,22,6,4,4
AM4RUMMB8CE8L,Red,Low,$\sigma = 1.1$,Red,36,18,18,5,5
AM4RUMMB8CE8L,Red,Low,$\sigma = 1.1$,White,34,18,16,5,5
A3KF6O09H04SP7,Red,High,$\sigma = 7.5$,Red,38,16,22,3,3
A3KF6O09H04SP7,Red,High,$\sigma = 7.5$,White,32,15,17,3,3
A171S8E9IFSHH2,White,Med,$\sigma = 4.5$,Red,27,22,5,5,5
A171S8E9IFSHH2,White,Med,$\sigma = 4.5$,White,35,19,16,5,5
A36N7DIMV383CS,White,Med,$\sigma = 4.5$,Red,32,21,11,5,5
A36N7DIMV383CS,White,Med,$\sigma = 4.5$,White,32,19,13,5,5
A6TSV1WPP3GG3,Red,Low,$\sigma = 1.1$,Red,32,22,10,6,5
A6TSV1WPP3GG3,Red,Low,$\sigma = 1.1$,White,39,17,22,3,2
A32W1IA1QAENTB,Red,Low,$\sigma = 1.1$,Red,36,17,19,3,3
A32W1IA1QAENTB,Red,Low,$\sigma = 1.1$,White,38,14,24,5,5
A3375OEBUILSJS,White,Med,$\sigma = 4.5$,Red,33,18,15,5,5
A3375OEBUILSJS,White,Med,$\sigma = 4.5$,White,32,16,16,5,5
AIUKV0KVALMY6,Red,Med,$\sigma = 4.5$,Red,28,13,15,3,3
AIUKV0KVALMY6,Red,Med,$\sigma = 4.5$,White,23,8,15,3,3
A2LZ8CUUOZK2NG,White,High,$\sigma = 7.5$,Red,36,16,20,5,3
A2LZ8CUUOZK2NG,White,High,$\sigma = 7.5$,White,36,18,18,5,3
ANBWJZYU2A68T,White,Med,$\sigma = 4.5$,Red,34,19,15,3,3
ANBWJZYU2A68T,White,Med,$\sigma = 4.5$,White,34,17,17,3,3
A4J4F09IN9DJW,Red,Low,$\sigma = 1.1$,Red,27,22,5,3,3
A4J4F09IN9DJW,Red,Low,$\sigma = 1.1$,White,37,19,18,3,3
A3TBA7X9EF16W6,White,Low,$\sigma = 1.1$,Red,34,18,16,2,2
A3TBA7X9EF16W6,White,Low,$\sigma = 1.1$,White,27,22,5,5,6
A2N2GFB33ZMYGF,White,Low,$\sigma = 1.1$,Red,33,18,15,2,3
A2N2GFB33ZMYGF,White,Low,$\sigma = 1.1$,White,31,17,14,5,6
A1RLZ5BBJBHZNM,Red,Low,$\sigma = 1.1$,Red,31,17,14,4,5
A1RLZ5BBJBHZNM,Red,Low,$\sigma = 1.1$,White,33,17,16,3,3
A17SIN9Y5GGOF6,Red,Med,$\sigma = 4.5$,Red,30,19,11,2,3
A17SIN9Y5GGOF6,Red,Med,$\sigma = 4.5$,White,32,17,15,2,3
AXQKGVWRFYMM,White,High,$\sigma = 7.5$,Red,33,22,11,2,5
AXQKGVWRFYMM,White,High,$\sigma = 7.5$,White,38,14,24,2,2
AK8OOYYYKZF9V,White,Med,$\sigma = 4.5$,Red,49,27,22,5,2
AK8OOYYYKZF9V,White,Med,$\sigma = 4.5$,White,38,21,17,4,3
A394JO4NEPCY3M,Red,High,$\sigma = 7.5$,Red,31,15,16,5,5
A394JO4NEPCY3M,Red,High,$\sigma = 7.5$,White,33,16,17,6,6
AK47FLPTKZR5G,Red,High,$\sigma = 7.5$,Red,34,14,20,2,2
AK47FLPTKZR5G,Red,High,$\sigma = 7.5$,White,30,22,8,6,7
A1Y6V0OVEUTE8S,Red,Med,$\sigma = 4.5$,Red,38,18,20,3,3
A1Y6V0OVEUTE8S,Red,Med,$\sigma = 4.5$,White,34,17,17,3,3
AK35CJJEYFVYK,White,Med,$\sigma = 4.5$,Red,34,20,14,4,3
AK35CJJEYFVYK,White,Med,$\sigma = 4.5$,White,33,19,14,4,3
ALUKD738FTTZW,Red,Med,$\sigma = 4.5$,Red,33,18,15,3,5
ALUKD738FTTZW,Red,Med,$\sigma = 4.5$,White,29,22,7,5,5
A1VPQJR2V850OM,White,Med,$\sigma = 4.5$,Red,31,16,15,1,1
A1VPQJR2V850OM,White,Med,$\sigma = 4.5$,White,32,15,17,1,1
A2ONILC0LZKG6Y,White,Low,$\sigma = 1.1$,Red,33,13,20,2,2
A2ONILC0LZKG6Y,White,Low,$\sigma = 1.1$,White,28,24,4,5,6
A2G9163W7Y67UD,White,High,$\sigma = 7.5$,Red,35,11,24,3,2
A2G9163W7Y67UD,White,High,$\sigma = 7.5$,White,37,14,23,5,5
APJJ1HHD2GGFS,Red,Med,$\sigma = 4.5$,Red,32,18,14,4,4
APJJ1HHD2GGFS,Red,Med,$\sigma = 4.5$,White,39,16,23,4,4
A1EHACCUXENKC4,Red,High,$\sigma = 7.5$,Red,38,18,20,5,5
A1EHACCUXENKC4,Red,High,$\sigma = 7.5$,White,34,16,18,4,3
A1YN3AGDWAB1ZE,White,Low,$\sigma = 1.1$,Red,33,18,15,2,1
A1YN3AGDWAB1ZE,White,Low,$\sigma = 1.1$,White,28,23,5,5,6
A24U4V1X87FO7B,White,Low,$\sigma = 1.1$,Red,34,17,17,3,5
A24U4V1X87FO7B,White,Low,$\sigma = 1.1$,White,28,18,10,5,6
A1OZN075MPLC9V,White,High,$\sigma = 7.5$,Red,43,13,30,4,4
A1OZN075MPLC9V,White,High,$\sigma = 7.5$,White,45,13,32,4,4
AHIJACUG7ZL9B,Red,High,$\sigma = 7.5$,Red,38,16,22,3,3
AHIJACUG7ZL9B,Red,High,$\sigma = 7.5$,White,34,18,16,5,5
A2UF2FRGVW4T89,White,High,$\sigma = 7.5$,Red,34,17,17,5,5
A2UF2FRGVW4T89,White,High,$\sigma = 7.5$,White,37,15,22,3,3
AI6KURCLYS8ZF,Red,Med,$\sigma = 4.5$,Red,31,17,14,2,3
AI6KURCLYS8ZF,Red,Med,$\sigma = 4.5$,White,34,17,17,3,2
A3AGQ2G8QI59EG,Red,High,$\sigma = 7.5$,Red,32,16,16,2,2
A3AGQ2G8QI59EG,Red,High,$\sigma = 7.5$,White,32,16,16,2,2
A1B1MSMA5GWPUA,White,Low,$\sigma = 1.1$,Red,37,18,19,2,3
A1B1MSMA5GWPUA,White,Low,$\sigma = 1.1$,White,27,24,3,6,7
A1BNEJ2Q76JNF3,Red,Med,$\sigma = 4.5$,Red,34,10,24,5,6
A1BNEJ2Q76JNF3,Red,Med,$\sigma = 4.5$,White,32,12,20,5,6
ANT47ILQZVH34,Red,Low,$\sigma = 1.1$,Red,29,23,6,5,5
ANT47ILQZVH34,Red,Low,$\sigma = 1.1$,White,34,17,17,3,3
AB32A16WBEV84,Red,Med,$\sigma = 4.5$,Red,38,24,14,2,3
AB32A16WBEV84,Red,Med,$\sigma = 4.5$,White,42,17,25,3,2
A12NO2MNOIREXA,Red,Low,$\sigma = 1.1$,Red,33,21,12,2,5
A12NO2MNOIREXA,Red,Low,$\sigma = 1.1$,White,32,18,14,2,4
A2B2HQHFBYLTXU,White,Low,$\sigma = 1.1$,Red,31,18,13,4,3
A2B2HQHFBYLTXU,White,Low,$\sigma = 1.1$,White,29,20,9,5,5
A27OFCQG73Z4UF,White,High,$\sigma = 7.5$,Red,37,17,20,3,6
A27OFCQG73Z4UF,White,High,$\sigma = 7.5$,White,38,15,23,2,1
A1HMO9XPRPUPWJ,White,Med,$\sigma = 4.5$,Red,34,19,15,2,3
A1HMO9XPRPUPWJ,White,Med,$\sigma = 4.5$,White,34,17,17,2,3
A2WJ1KQW2UBTG6,White,High,$\sigma = 7.5$,Red,31,14,17,6,5
