Column Name,Description,Scale Items
turkid,MTurk ID,N/A
label_category,Label of common category,N/A
condition,SD of manipulated category,N/A
memory_avg,Memory for average price in common category,0-500
memory_min,Memory for minimum price in common category,0-500
below_true_min,Is memory for minimum price below true min? (computed),
picklikelihood_X,Likelihood to acccept offer X," -3 (definitely reject) to +3 (definitely accept)"""
