StartDate,EndDate,Duration (in seconds),ResponseId,Avg_Colorado,Min_Colorado,1_WTA_Colorado,1_Time_Colorado_First Click,1_Time_Colorado_Last Click,1_Time_Colorado_Page Submit,1_Time_Colorado_Click Count,2_WTA_Colorado,2_Time_Colorado_First Click,2_Time_Colorado_Last Click,2_Time_Colorado_Page Submit,2_Time_Colorado_Click Count,3_WTA_Colorado,3_Time_Colorado_First Click,3_Time_Colorado_Last Click,3_Time_Colorado_Page Submit,3_Time_Colorado_Click Count,4_WTA_Colorado,4_Time_Colorado_First Click,4_Time_Colorado_Last Click,4_Time_Colorado_Page Submit,4_Time_Colorado_Click Count,5_WTA_Colorado,5_Time_Colorado_First Click,5_Time_Colorado_Last Click,5_Time_Colorado_Page Submit,5_Time_Colorado_Click Count,Avg_Florida,Avg_Colorado,1_WTA_Florida,1_Time_Florida_First Click,1_Time_Florida_Last Click,1_Time_Florida_Page Submit,1_Time_Florida_Click Count,2_WTA_Florida,2_Time_Florida_First Click,2_Time_Florida_Last Click,2_Time_Florida_Page Submit,2_Time_Florida_Click Count,3_WTA_Florida,3_Time_Florida_First Click,3_Time_Florida_Last Click,3_Time_Florida_Page Submit,3_Time_Florida_Click Count,4_WTA_Florida,4_Time_Florida_First Click,4_Time_Florida_Last Click,4_Time_Florida_Page Submit,4_Time_Florida_Click Count,5_WTA_Florida,5_Time_Florida_First Click,5_Time_Florida_Last Click,5_Time_Florida_Page Submit,5_Time_Florida_Click Count,prices,item_names,prices_florida,prices_colorado,dispersion,manipulated
27/06/2019 16:14,27/06/2019 16:17,127,R_23KLIK9wDEFHelr,315,200,1,6.878,6.878,9.047,1,2,3.157,3.157,4.189,1,2,1.428,1.428,2.534,1,2,1.775,3.079,3.72,2,3,1.052,1.052,1.937,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,"340,380,240,360,300,400,320,420,480,380,200,360,320,280,320,160,340,260,340,280,340,440,380,400,140,300,280,320,340,320,220,280,360,240,300,460,300,260,320,340,320,260,300,500,180,360,360,280,300,320",,280;180;500;260;320;320;300;460;300;360;220;140;440;340;160;320;280;200;380;480;420;400;360;240;340,320;300;360;360;300;340;260;240;280;320;340;320;280;300;400;380;340;280;260;340;320;360;320;300;380,higher,florida
27/06/2019 16:15,27/06/2019 16:17,99,R_2AFRwmmkgl6ODeU,330,260,1,0.725,1.506,2.422,2,3,0.817,3.358,4.116,5,1,1.369,1.369,2.039,1,1,1.385,2.009,2.515,2,3,1.129,1.129,1.605,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,"380,360,280,420,300,160,360,340,240,340,260,400,280,380,320,240,180,140,280,440,300,200,260,320,340,300,340,300,280,280,320,380,360,260,320,500,320,320,400,360,320,360,220,460,340,480,320,300,340,300",,300;480;340;460;220;360;320;500;320;260;380;280;340;320;200;300;440;140;180;240;400;160;420;280;360,340;300;320;360;320;400;320;360;320;280;300;340;300;260;280;320;380;280;260;340;240;340;360;300;380,higher,florida
27/06/2019 16:15,27/06/2019 16:17,126,R_ZehXt6VHkjiwp7b,,,,,,,,,,,,,,,,,,,,,,,,,,,,320,240,1,9.883,9.883,11.868,1,2,3.664,3.664,4.929,1,3,1.561,1.561,2.83,1,3,3.472,3.472,4.113,1,3,3.432,3.432,4.725,1,"320,380,320,380,260,300,300,340,300,300,320,260,320,360,360,280,240,280,240,300,300,360,280,340,360,280,360,300,340,320,340,340,360,340,400,340,260,380,300,260,320,320,280,320,380,320,320,280,340,400",,340;280;320;380;320;260;300;380;260;400;340;320;340;280;360;300;300;240;280;360;360;300;340;320;320,400;320;320;280;320;340;360;340;340;300;360;360;340;280;240;280;320;260;320;300;300;300;260;380;380,same,colorado
27/06/2019 16:15,27/06/2019 16:17,129,R_31mXuEBPkGx1XZs,300,240,1,5.043,5.043,6.713,1,2,3.193,3.193,5.654,1,2,1.751,1.751,3.286,1,2,2.67,2.67,4.032,1,3,1.651,1.651,2.873,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,"280,260,220,300,300,380,340,420,300,400,280,380,300,280,320,240,480,320,320,140,320,260,360,460,340,300,400,280,360,340,280,160,240,340,340,380,320,500,360,360,200,300,180,260,360,320,320,320,440,340",,440;320;260;180;300;200;500;340;160;360;460;360;320;140;320;480;240;380;280;400;300;420;340;220;280,340;320;320;360;360;360;320;380;340;240;280;340;280;400;300;340;260;320;320;280;300;380;300;300;260,higher,florida
27/06/2019 16:14,27/06/2019 16:17,149,R_1mFr5M03MNb0inb,,,,,,,,,,,,,,,,,,,,,,,,,,,,300,280,0,8.664,8.664,10.14,1,1,7.487,7.847,9.112,2,2,6.402,7.419,7.94,2,3,2.326,2.326,3.195,1,3,1.525,1.525,2.801,1,"400,320,340,360,340,460,400,380,320,140,360,240,340,340,260,220,480,340,160,300,320,280,180,300,200,280,300,320,340,320,360,500,240,280,380,320,260,380,420,320,360,300,320,360,440,300,280,280,300,260",,260;300;280;360;300;360;320;380;260;240;360;320;300;280;280;320;300;340;340;320;380;400;340;340;320,280;300;440;320;420;320;380;280;500;320;340;200;300;180;160;480;220;260;340;240;360;140;460;360;400,higher,colorado
27/06/2019 16:15,27/06/2019 16:17,125,R_A1l58vFetI5vacV,320,240,3,6.15,8.67,9.659,2,3,3.376,4.721,5.582,3,3,1.482,2.327,3.43,2,3,4.223,4.691,5.757,2,3,1.8,3.565,4.514,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,"300,320,260,300,300,320,300,280,340,360,320,300,340,300,340,400,280,280,340,320,260,280,360,380,360,340,260,280,340,320,380,340,340,300,260,300,380,320,360,280,360,380,240,320,320,320,320,360,240,400",,400;360;320;240;380;300;340;340;280;360;380;360;260;320;280;340;320;340;280;300;320;300;300;260;320,240;320;320;320;360;280;360;320;380;260;300;340;380;320;260;340;280;340;280;400;300;340;300;360;300,same,florida
27/06/2019 16:15,27/06/2019 16:17,118,R_0lHEWZRHI7AdsHf,,,,,,,,,,,,,,,,,,,,,,,,,,,,300,240,-2,5.345,6.825,11.097,3,-2,2.059,3.176,4.028,4,-2,1.057,2.488,2.848,4,-2,0.969,3.802,4.22,4,-1,1.054,2.673,3.552,4,"300,280,320,380,260,440,320,300,480,360,280,420,320,340,400,380,260,320,280,340,260,340,220,400,360,240,340,360,320,280,320,320,180,240,300,340,500,460,200,160,140,300,340,380,280,360,300,320,300,360",,360;300;300;360;380;340;240;320;320;280;360;340;400;340;280;260;380;340;320;300;320;260;320;280;300,320;280;300;140;160;200;460;500;340;300;180;320;240;360;220;340;260;320;400;420;280;360;480;440;380,higher,colorado
27/06/2019 16:15,27/06/2019 16:17,132,R_1BRtqvcxdCSqKKl,300,240,2,2.912,10.871,11.605,4,3,2.922,2.922,4.037,1,3,1.196,1.196,1.928,1,3,1.522,1.522,2.265,1,3,1.537,1.537,2.384,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,"360,260,300,380,320,300,340,320,360,280,280,320,360,340,340,260,260,300,300,340,320,400,340,340,300,340,260,380,300,360,320,300,340,240,320,240,380,320,280,280,320,380,320,280,360,300,320,280,400,360",,360;280;320;280;380;280;320;240;320;340;300;340;400;340;300;260;340;360;320;320;300;380;300;260;360,400;300;360;320;320;280;380;320;240;340;300;360;300;380;260;340;320;300;260;340;280;280;360;340;320,same,florida
27/06/2019 16:15,27/06/2019 16:17,147,R_2OOpYvVLonGo1N6,,,,,,,,,,,,,,,,,,,,,,,,,,,,300,180,1,10.34,10.34,11.312,1,1,5.095,5.095,6.313,1,1,4.235,4.235,5.697,1,1,1.925,1.925,3.118,1,1,2.579,2.579,3.533,1,"340,320,260,300,240,260,320,300,220,160,280,380,320,480,340,340,500,260,360,360,240,340,300,340,400,300,200,400,280,320,280,440,300,360,280,280,180,360,460,420,300,320,360,320,380,380,320,140,340,320",,320;380;380;320;360;320;360;280;280;360;300;320;300;400;340;300;340;340;320;280;300;260;240;260;340,340;140;320;300;420;460;180;440;280;280;400;200;240;360;360;260;500;340;480;380;160;220;320;300;320,higher,colorado
27/06/2019 16:15,27/06/2019 16:17,145,R_2cBZUPnfiSEFJgX,290,220,1,4.321,10.586,11.378,3,2,3.145,3.898,5.065,2,3,1.763,3.284,4.099,3,3,2.571,3.843,5.114,2,3,2.013,2.758,3.697,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,"300,320,360,280,240,340,300,340,180,500,140,340,320,300,340,460,340,280,300,320,420,320,380,220,200,240,440,480,340,300,380,260,280,400,360,260,280,360,400,320,260,160,280,380,320,300,360,320,320,360",,320;360;300;320;280;160;260;400;280;480;440;240;200;220;380;420;460;300;340;140;500;180;340;360;320,360;320;380;320;360;260;360;400;280;260;380;300;340;320;320;300;280;340;340;320;340;300;240;280;300,higher,florida
